survey_id,site_name,county,habitat_type,survey_date,surveyor,species_count,red_list_species,invasive_species_present,vegetation_cover_pct,canopy_height_m,soil_ph,soil_moisture_pct,noise_level_db,air_quality_index,litter_score,public_access,protected_area,condition_assessment,notes
ENV-2024-031,Lindisfarne,Northumberland,Sand dune,2024-09-02,Dr A. Thornton,46,4,FALSE,58.2,0.2,7.2,24.1,23,1,1,TRUE,TRUE,Favourable,"Little tern colony protected"
ENV-2024-032,Druridge Bay,Northumberland,Sand dune,2024-09-02,Dr A. Thornton,38,2,TRUE,50.5,0.2,6.9,21.8,35,2,3,FALSE,FALSE,Unfavourable recovering,"Pirri-pirri bur removal ongoing"
ENV-2024-033,Woodwalton Fen,Cambridgeshire,Fen,2024-09-16,J. Marsh,54,4,FALSE,92.8,1.4,5.9,86.8,26,1,1,TRUE,TRUE,Favourable,"Large copper butterfly reintroduction site"
ENV-2024-034,Chippenham Fen,Cambridgeshire,Fen,2024-09-16,J. Marsh,49,3,FALSE,89.5,1.1,6.1,83.5,30,1,2,TRUE,TRUE,Favourable,"Rare sedge populations healthy"
ENV-2024-035,Ainsdale Dunes,Merseyside,Sand dune,2024-10-07,S. Patel,36,2,TRUE,47.8,0.2,6.7,19.2,48,2,4,TRUE,TRUE,Unfavourable recovering,"Natterjack toad scrape creation"
ENV-2024-036,Formby Point,Merseyside,Sand dune,2024-10-07,S. Patel,32,1,TRUE,44.1,0.2,6.5,17.8,62,3,5,TRUE,FALSE,Unfavourable declining,"Severe coastal erosion and visitor trampling"
ENV-2024-037,Wyre Forest,Worcestershire,Ancient woodland,2024-10-21,Dr R. Keane,57,4,FALSE,86.8,20.2,4.9,59.1,36,1,3,TRUE,TRUE,Favourable,"Pearl-bordered fritillary habitat maintained"
ENV-2024-038,Chaddesley Woods,Worcestershire,Ancient woodland,2024-10-21,Dr R. Keane,44,2,TRUE,80.5,17.5,5.3,53.8,42,2,3,TRUE,TRUE,Unfavourable recovering,"Ash dieback management ongoing"
ENV-2024-039,Thursley Common,Surrey,Lowland heath,2024-11-04,M. Okonkwo,40,3,FALSE,72.1,0.7,4.0,43.8,38,2,3,TRUE,TRUE,Favourable,"Post-fire recovery excellent after 2020 blaze"
ENV-2024-040,Frensham Common,Surrey,Lowland heath,2024-11-04,M. Okonkwo,35,2,TRUE,65.8,0.6,4.2,39.5,56,3,5,TRUE,FALSE,Unfavourable declining,"Dog walking disturbance to ground-nesting birds"
